date,name,mobility
2020-02-15,Bayside (A),1.0357142857142858
2020-02-15,Blacktown (C),1.0869565217391304
2020-02-15,Camden (A),1.1111111111111112
2020-02-15,Canterbury-Bankstown (A),1.1428571428571428
2020-02-15,Central Coast (C) (NSW),1.2222222222222223
2020-02-15,Cumberland (A),1.0833333333333333
2020-02-15,Fairfield (C),1.0869565217391304
2020-02-15,Georges River (A),1.0869565217391304
2020-02-15,Hornsby (A),1.0769230769230769
2020-02-15,Inner West (A),1.0625
2020-02-15,Liverpool (C),1.0909090909090908
2020-02-15,Northern Beaches (A),1.0606060606060606
2020-02-15,Parramatta (C),1.074074074074074
2020-02-15,Penrith (C),1.0
2020-02-15,Randwick (C),1.074074074074074
2020-02-15,Ryde (C),1.0357142857142858
2020-02-15,Strathfield (A),1.0625
2020-02-15,Sydney (C),1.0833333333333333
2020-02-15,The Hills Shire (A),1.08
2020-02-15,average,1.0904315676906111
2020-02-15,highSE,1.0703707347683926
2020-02-15,lowSE,1.110063328451967
2020-02-15,midSE,1.0722798781618321
2020-02-16,Bayside (A),1.0344827586206897
2020-02-16,Blacktown (C),1.0
2020-02-16,Canterbury-Bankstown (A),1.074074074074074
2020-02-16,Central Coast (C) (NSW),1.0952380952380953
2020-02-16,Cumberland (A),1.074074074074074
2020-02-16,Fairfield (C),1.04
2020-02-16,Georges River (A),1.1333333333333333
2020-02-16,Hornsby (A),1.0714285714285714
2020-02-16,Inner West (A),1.0666666666666667
2020-02-16,Liverpool (C),1.0
2020-02-16,Northern Beaches (A),1.1481481481481481
2020-02-16,Parramatta (C),1.0
2020-02-16,Penrith (C),1.0909090909090908
2020-02-16,Randwick (C),1.1428571428571428
2020-02-16,Ryde (C),1.0526315789473684
2020-02-16,Sydney (C),1.0625
2020-02-16,The Hills Shire (A),1.0689655172413792
2020-02-16,average,1.0653247554796317
2020-02-16,highSE,1.1057192532558002
2020-02-16,lowSE,1.059593233497907
2020-02-16,midSE,1.05864911386389
2020-02-17,Bayside (A),1.4242424242424243
2020-02-17,Blacktown (C),1.5
2020-02-17,Camden (A),1.4074074074074074
2020-02-17,Canada Bay (A),1.5142857142857142
2020-02-17,Canterbury-Bankstown (A),1.4150943396226414
2020-02-17,Central Coast (C) (NSW),1.1739130434782608
2020-02-17,Cumberland (A),1.3703703703703702
2020-02-17,Fairfield (C),1.32
2020-02-17,Georges River (A),1.5333333333333332
2020-02-17,Hawkesbury (C),1.3043478260869565
2020-02-17,Hornsby (A),1.5142857142857142
2020-02-17,Inner West (A),1.5405405405405406
2020-02-17,Ku-ring-gai (A),1.5526315789473686
2020-02-17,Liverpool (C),1.3461538461538463
2020-02-17,North Sydney (A),1.564102564102564
2020-02-17,Northern Beaches (A),1.4705882352941178
2020-02-17,Parramatta (C),1.6
2020-02-17,Penrith (C),1.3333333333333333
2020-02-17,Randwick (C),1.4444444444444444
2020-02-17,Ryde (C),1.4324324324324325
2020-02-17,Strathfield (A),1.4285714285714286
2020-02-17,Sydney (C),1.564102564102564
2020-02-17,The Hills Shire (A),1.5151515151515151
2020-02-17,Waverley (A),1.606060606060606
2020-02-17,Willoughby (C),1.5405405405405406
2020-02-17,Woollahra (A),2.0
2020-02-17,average,1.449179964647979
2020-02-17,highSE,1.5483798640922135
2020-02-17,lowSE,1.3699389646449045
2020-02-17,midSE,1.5060311703240874
2020-02-18,Bayside (A),1.4444444444444444
2020-02-18,Blacktown (C),1.4
2020-02-18,Camden (A),1.3333333333333333
2020-02-18,Canada Bay (A),1.4736842105263157
2020-02-18,Canterbury-Bankstown (A),1.3442622950819672
2020-02-18,Central Coast (C) (NSW),1.25
2020-02-18,Cumberland (A),1.3333333333333333
2020-02-18,Fairfield (C),1.2857142857142856
2020-02-18,Georges River (A),1.4117647058823528
2020-02-18,Hawkesbury (C),1.4230769230769231
2020-02-18,Hornsby (A),1.4864864864864864
2020-02-18,Inner West (A),1.4878048780487805
2020-02-18,Ku-ring-gai (A),1.4878048780487805
2020-02-18,Liverpool (C),1.3214285714285714
2020-02-18,North Sydney (A),1.5
2020-02-18,Northern Beaches (A),1.4444444444444444
2020-02-18,Parramatta (C),1.5294117647058822
2020-02-18,Penrith (C),1.2857142857142856
2020-02-18,Randwick (C),1.4210526315789473
2020-02-18,Ryde (C),1.4615384615384617
2020-02-18,Strathfield (A),1.368421052631579
2020-02-18,Sydney (C),1.4545454545454546
2020-02-18,The Hills Shire (A),1.4324324324324325
2020-02-18,Waverley (A),1.5405405405405406
2020-02-18,Willoughby (C),1.4285714285714286
2020-02-18,Woollahra (A),2.0
2020-02-18,average,1.406208440860947
2020-02-18,highSE,1.4964740961647192
2020-02-18,lowSE,1.3285196970125654
2020-02-18,midSE,1.4588957234596247
2020-02-19,Bayside (A),1.3888888888888888
2020-02-19,Blacktown (C),1.5
2020-02-19,Camden (A),1.3666666666666667
2020-02-19,Canada Bay (A),1.4736842105263157
2020-02-19,Canterbury-Bankstown (A),1.360655737704918
2020-02-19,Central Coast (C) (NSW),1.2916666666666667
2020-02-19,Cumberland (A),1.4137931034482758
2020-02-19,Fairfield (C),1.3571428571428572
2020-02-19,Georges River (A),1.3888888888888888
2020-02-19,Hawkesbury (C),1.5172413793103448
2020-02-19,Hornsby (A),1.526315789473684
2020-02-19,Inner West (A),1.4761904761904763
2020-02-19,Ku-ring-gai (A),1.5
2020-02-19,Liverpool (C),1.3571428571428572
2020-02-19,North Sydney (A),1.4545454545454546
2020-02-19,Northern Beaches (A),1.4864864864864864
2020-02-19,Parramatta (C),1.5142857142857142
2020-02-19,Penrith (C),1.3703703703703702
2020-02-19,Randwick (C),1.4
2020-02-19,Ryde (C),1.5405405405405406
2020-02-19,Strathfield (A),1.3421052631578947
2020-02-19,Sydney (C),1.4545454545454546
2020-02-19,The Hills Shire (A),1.5
2020-02-19,Waverley (A),1.4102564102564101
2020-02-19,Willoughby (C),1.45
2020-02-19,Woollahra (A),1.9444444444444444
2020-02-19,average,1.4342883378074074
2020-02-19,highSE,1.512366967425482
2020-02-19,lowSE,1.3818903284412776
2020-02-19,midSE,1.4659543731125169
2020-02-20,Bayside (A),1.4444444444444444
2020-02-20,Blacktown (C),1.4666666666666668
2020-02-20,Camden (A),1.3225806451612903
2020-02-20,Canada Bay (A),1.4146341463414633
2020-02-20,Canterbury-Bankstown (A),1.3870967741935485
2020-02-20,Central Coast (C) (NSW),1.25
2020-02-20,Cumberland (A),1.3870967741935485
2020-02-20,Fairfield (C),1.3333333333333333
2020-02-20,Georges River (A),1.4705882352941178
2020-02-20,Hornsby (A),1.4615384615384617
2020-02-20,Inner West (A),1.4222222222222223
2020-02-20,Ku-ring-gai (A),1.4285714285714286
2020-02-20,Liverpool (C),1.3333333333333333
2020-02-20,North Sydney (A),1.4375
2020-02-20,Northern Beaches (A),1.4210526315789473
2020-02-20,Parramatta (C),1.457142857142857
2020-02-20,Penrith (C),1.3333333333333333
2020-02-20,Randwick (C),1.3333333333333333
2020-02-20,Ryde (C),1.4615384615384617
2020-02-20,Strathfield (A),1.368421052631579
2020-02-20,Sydney (C),1.425531914893617
2020-02-20,The Hills Shire (A),1.4102564102564101
2020-02-20,Waverley (A),1.4545454545454546
2020-02-20,Willoughby (C),1.4390243902439024
2020-02-20,Woollahra (A),1.8888888888888888
2020-02-20,average,1.4034586780137925
2020-02-20,highSE,1.4586643837297568
2020-02-20,lowSE,1.3686698357527474
2020-02-20,midSE,1.4125510648197546
2020-02-21,Bayside (A),1.3783783783783785
2020-02-21,Blacktown (C),1.4333333333333333
2020-02-21,Camden (A),1.3333333333333333
